file1,file2
/input/50A/29019948.cpp,/input/50A/30534178.cpp
/input/50A/21715601.cpp,/input/50A/30534178.cpp
/input/50A/36641065.cpp,/input/50A/30534178.cpp
/input/50A/31034693.cpp,/input/50A/30534178.cpp
/input/50A/31034693.cpp,/input/50A/138805414.cpp
/input/50A/138805414.cpp,/input/50A/30534178.cpp
/input/50A/138805414.cpp,/input/50A/29019948.cpp
/input/50A/138805414.cpp,/input/50A/33794240.cpp
/input/50A/138805414.cpp,/input/50A/21715601.cpp
/input/50A/138805414.cpp,/input/50A/36641065.cpp
/input/50A/33794240.cpp,/input/50A/30534178.cpp
/input/4A/101036360.cpp,/input/4A/127473352.cpp
/input/4A/101036360.cpp,/input/4A/134841308.cpp
/input/4A/117364748.cpp,/input/4A/127473352.cpp
/input/4A/117364748.cpp,/input/4A/134841308.cpp
/input/4A/117364748.cpp,/input/4A/101036360.cpp
/input/4A/48762087.cpp,/input/4A/127473352.cpp
/input/4A/48762087.cpp,/input/4A/134841308.cpp
/input/4A/48762087.cpp,/input/4A/101036360.cpp
/input/4A/48762087.cpp,/input/4A/117364748.cpp
